idx,block,trial,stimuli,reward,response,trialtype,regret
1,5,25,blue/red,40,blue,decision,20
1,5,26,blue/yellow,40,blue,catch,0
1,5,27,yellow/green,40,green,decision,0
1,5,28,yellow/green,20,yellow,decision,20
1,5,29,blue/green,80,blue,catch,0
1,5,30,green/blue,0,green,catch,40
1,5,31,blue/red,80,blue,decision,0
1,5,32,red/blue,60,red,decision,20
1,5,33,blue/red,80,blue,decision,0
1,5,34,yellow/red,20,yellow,catch,40
1,5,35,blue/red,40,blue,decision,20
1,5,36,blue/red,80,blue,decision,0
1,5,37,red/green,60,red,catch,0
1,5,38,yellow/green,40,green,decision,0
1,5,39,red/blue,60,red,decision,0
1,5,40,yellow/green,20,yellow,decision,0
1,6,1,green/yellow,0,green,decision,20
1,6,2,yellow/red,20,yellow,catch,40
1,6,3,yellow/green,20,yellow,decision,20
1,6,4,green/red,40,green,catch,20
1,6,5,green/blue,0,green,catch,40
1,6,6,blue/green,80,blue,catch,0
1,6,7,red/yellow,60,red,catch,0
1,6,8,blue/green,40,blue,catch,0
1,6,9,yellow/green,20,yellow,decision,0
1,6,10,blue/yellow,80,blue,catch,0
1,6,11,red/blue,60,red,decision,0
1,6,12,blue/red,80,blue,decision,0
1,6,13,green/yellow,40,green,decision,0
1,6,14,blue/red,40,blue,decision,20
1,6,15,red/blue,60,red,decision,0
1,6,16,yellow/green,20,yellow,decision,20
1,6,17,red/blue,40,blue,decision,20
1,6,18,red/blue,60,red,decision,20
1,6,19,yellow/blue,20,yellow,catch,60
1,6,20,green/red,0,green,catch,60
1,6,21,green/yellow,40,green,decision,0
1,6,22,blue/green,40,blue,catch,0
1,6,23,yellow/green,20,yellow,decision,0
1,6,24,yellow/red,20,yellow,catch,40
1,6,25,blue/red,80,blue,decision,0
1,6,26,green/yellow,40,green,decision,0
1,6,27,red/blue,60,red,decision,0
1,6,28,blue/red,80,blue,decision,0
1,6,29,blue/green,80,blue,catch,0
1,6,30,red/green,40,green,catch,20
1,6,31,blue/red,40,blue,decision,20
1,6,32,green/yellow,40,green,decision,0
1,6,33,red/blue,60,red,decision,0
1,6,34,blue/red,80,blue,decision,0
1,6,35,blue/red,40,blue,decision,20
1,6,36,blue/yellow,40,blue,catch,0
1,6,37,green/red,40,green,catch,20
1,6,38,red/blue,60,red,decision,20
1,6,39,red/blue,60,red,decision,20
1,6,40,green/red,60,red,catch,0
2,1,1,green/yellow,0,green,decision,20
2,1,2,red/blue,60,red,decision,0
2,1,3,blue/green,80,blue,catch,0
2,1,4,red/yellow,60,red,catch,0
2,1,5,green/yellow,0,green,decision,20
2,1,6,red/blue,60,red,decision,0
2,1,7,yellow/green,40,green,decision,0
2,1,8,green/yellow,0,green,decision,20
2,1,9,green/red,0,green,catch,60
2,1,10,red/green,0,green,catch,60
2,1,11,blue/red,40,blue,decision,20
2,1,12,red/yellow,60,red,catch,0
2,1,13,green/yellow,0,green,decision,20
2,1,14,green/blue,40,green,catch,40
2,1,15,green/yellow,20,yellow,decision,20
2,1,16,blue/yellow,40,blue,catch,0
2,1,17,red/blue,60,red,decision,0
2,1,18,yellow/blue,20,yellow,catch,60
2,1,19,red/green,60,red,catch,0
2,1,20,blue/red,80,blue,decision,0
2,1,21,green/yellow,40,green,decision,0
2,1,22,red/yellow,60,red,catch,0
2,1,23,blue/red,40,blue,decision,20
2,1,24,green/blue,0,green,catch,40
2,1,25,red/blue,60,red,decision,20
2,1,26,blue/red,40,blue,decision,20
2,1,27,red/green,60,red,catch,0
2,1,28,yellow/red,20,yellow,catch,40
2,1,29,red/green,60,red,catch,0
2,1,30,red/blue,60,red,decision,20
2,1,31,green/yellow,40,green,decision,0
2,1,32,green/blue,0,green,catch,80
2,1,33,yellow/green,20,yellow,decision,0
2,1,34,green/red,40,green,catch,20
2,1,35,yellow/green,20,yellow,decision,20
2,1,36,blue/red,60,red,decision,0
2,1,37,yellow/green,20,yellow,decision,0
2,1,38,blue/red,80,blue,decision,0
2,1,39,yellow/green,20,yellow,decision,20
